step,mloss,gloss,loss
15700.0,0.9349,0.4191,1.3539999999999999
15800.0,0.9352,0.4209,1.3561
15900.0,0.9393,0.4169,1.3562
16000.0,0.9349,0.4191,1.3539999999999999
16100.0,0.9339,0.4195,1.3534
16200.0,0.933,0.4156,1.3486
16300.0,0.9375,0.4198,1.3573
16400.0,0.9334,0.4175,1.3509
16500.0,0.9364,0.416,1.3524
16600.0,0.9277,0.4157,1.3434
16700.0,0.9264,0.4146,1.341
16800.0,0.9377,0.4144,1.3521
16900.0,0.932,0.4149,1.3469
17000.0,0.9323,0.4164,1.3487
17100.0,0.9321,0.4161,1.3482
17200.0,0.9325,0.4142,1.3467
17300.0,0.9328,0.4143,1.3471
17400.0,0.9293,0.4147,1.344
17500.0,0.9339,0.413,1.3469
17600.0,0.9339,0.4138,1.3477
17700.0,0.9282,0.4144,1.3426
17800.0,0.9271,0.4122,1.3393000000000002
17900.0,0.9307,0.4132,1.3439
18000.0,0.9286,0.4131,1.3417
18100.0,0.9301,0.4129,1.343
18200.0,0.9296,0.4127,1.3423
18300.0,0.9297,0.412,1.3417
18400.0,0.9303,0.4129,1.3432
18500.0,0.9363,0.4112,1.3475000000000001
18600.0,0.9294,0.4121,1.3415
18700.0,0.9291,0.413,1.3421
18800.0,0.9313,0.4126,1.3439
18900.0,0.9318,0.4111,1.3429
19000.0,0.9244,0.4102,1.3346
19100.0,0.927,0.4117,1.3387
19200.0,0.9294,0.4124,1.3418
19300.0,0.9272,0.411,1.3382
19400.0,0.9289,0.4111,1.3399999999999999
19500.0,0.9272,0.4105,1.3377
19600.0,0.935,0.4095,1.3445
19700.0,0.9288,0.4099,1.3387
19800.0,0.9265,0.4096,1.3361
19900.0,0.922,0.4091,1.3311000000000002
20000.0,0.9259,0.411,1.3369
