step,mloss,gloss,loss
15500.0,0.4136,0.4419,0.8555
15600.0,0.4158,0.44,0.8558
15700.0,0.4157,0.4434,0.8591
15800.0,0.4162,0.443,0.8592
15900.0,0.4174,0.4398,0.8572
16000.0,0.4121,0.4407,0.8528
16100.0,0.4173,0.4423,0.8596
16200.0,0.4178,0.4413,0.8591
16300.0,0.4219,0.4414,0.8633
16400.0,0.4158,0.4406,0.8564
16500.0,0.4214,0.441,0.8624
16600.0,0.4152,0.4412,0.8564
16700.0,0.4169,0.4401,0.857
16800.0,0.4189,0.44,0.8589
16900.0,0.4145,0.4422,0.8567
17000.0,0.4183,0.44,0.8583000000000001
17100.0,0.4159,0.4398,0.8557
17200.0,0.4141,0.4407,0.8548
17300.0,0.4152,0.4401,0.8553
17400.0,0.4168,0.4385,0.8553
17500.0,0.4158,0.4405,0.8563000000000001
17600.0,0.4216,0.4404,0.862
17700.0,0.4168,0.4399,0.8567
17800.0,0.4161,0.4401,0.8562000000000001
17900.0,0.4135,0.4396,0.8531
18000.0,0.4154,0.4394,0.8548
18100.0,0.4166,0.4396,0.8562000000000001
18200.0,0.418,0.4399,0.8579
18300.0,0.4168,0.4404,0.8572
18400.0,0.4179,0.4409,0.8588
18500.0,0.4174,0.4382,0.8555999999999999
18600.0,0.4143,0.4406,0.8549
18700.0,0.4143,0.4396,0.8539
18800.0,0.4185,0.4395,0.858
18900.0,0.4171,0.439,0.8561000000000001
19000.0,0.4149,0.438,0.8529
19100.0,0.4167,0.4397,0.8564
19200.0,0.4176,0.4388,0.8564
19300.0,0.4125,0.4386,0.8511
19400.0,0.4134,0.4389,0.8523000000000001
19500.0,0.4139,0.4381,0.852
19600.0,0.4174,0.4385,0.8559
19700.0,0.4155,0.4377,0.8532
19800.0,0.416,0.4382,0.8542
19900.0,0.4182,0.4393,0.8575
20000.0,0.4136,0.4389,0.8525
20100.0,0.4132,0.4377,0.8509
20200.0,0.4154,0.4389,0.8543000000000001
20300.0,0.4114,0.4376,0.849
20400.0,0.4138,0.4381,0.8519
20500.0,0.4196,0.4418,0.8613999999999999
20600.0,0.4136,0.4377,0.8513
20700.0,0.4165,0.4389,0.8553999999999999
20800.0,0.4144,0.4379,0.8523000000000001
20900.0,0.4145,0.4384,0.8529
21000.0,0.4098,0.4374,0.8472
21100.0,0.4166,0.4385,0.8551
21200.0,0.4169,0.4375,0.8544
21300.0,0.4152,0.4391,0.8543000000000001
21400.0,0.4143,0.4385,0.8528
